scene_key,scene_coarse_key,life_segment,参数,single_change_samples,mean_delta_wet_per_unit,median_delta_wet_per_unit,mean_delta_wet_when_param_increase,mean_delta_wet_when_param_decrease,typical_step_abs,方向结论,降湿重建议
刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=30-40万,刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,30-40万,印刷压力,7,0.024880952380952535,0.010000000000000142,0.0500000000000013,-0.10000000000000142,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=20-30万,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,20-30万,印刷压力,4,0.18910714285714297,0.11749999999999998,0.8000000000000007,-0.3000000000000007,4.5,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=30-40万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,30-40万,印刷压力,7,0.13000000000000014,0.14000000000000057,0.26000000000000084,-2.1000000000000014,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=40-50万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,40-50万,印刷压力,7,-0.024557823129251453,-0.02857142857142847,0.18000000000000044,-0.15000000000000036,4.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=50-60万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,50-60万,印刷压力,8,-0.01291666666666677,0.004166666666666725,-0.12857142857142886,-0.29999999999999716,5.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=60-70万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,60-70万,印刷压力,4,-0.030303030303030692,0.010227272727272349,-1.7763568394002505e-15,-0.5499999999999989,5.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=70-80万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,70-80万,印刷压力,5,0.03548717948717958,0.039999999999999855,0.05000000000000071,-1.6999999999999993,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=80-90万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,80-90万,印刷压力,4,0.031249999999999792,0.025000000000000244,-0.2500000000000009,,3.5,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=0-10万,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,0-10万,印刷压力,6,0.09194444444444431,0.13000000000000006,0.2799999999999997,-2.099999999999998,4.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=10-20万,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,10-20万,印刷压力,6,-0.10750000000000004,0.0,-0.3250000000000002,-0.4499999999999993,5.5,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=10-20万,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,10-20万,印刷压力,5,0.03533333333333334,0.020000000000000285,-0.10000000000000024,-0.25,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=20-30万,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,20-30万,印刷压力,5,-0.04666666666666671,-0.05000000000000012,-0.1750000000000007,0.6999999999999993,5.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,60-70万,印刷压力,6,0.06078042328042316,0.0430555555555555,0.3799999999999997,0.9000000000000021,7.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=80-90万,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,80-90万,印刷压力,4,0.08750000000000015,0.10416666666666681,0.43333333333333357,-0.6999999999999993,9.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=0-10万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,0-10万,印刷压力,11,0.020324675324675554,0.02857142857142847,-0.02857142857142847,-0.4250000000000016,4.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=10-20万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,10-20万,印刷压力,9,0.06883597883597856,0.08999999999999986,0.2999999999999992,-1.1999999999999975,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=20-30万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,20-30万,印刷压力,7,0.027857142857142796,0.11666666666666654,-0.057142857142857446,,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=30-40万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,30-40万,印刷压力,13,0.07942612942612942,0.07142857142857093,0.4222222222222219,-0.9000000000000004,9.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=40-50万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,40-50万,印刷压力,10,-0.013103174603174741,-0.036111111111111274,-0.08571428571428642,0.20000000000000165,8.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=50-60万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,50-60万,印刷压力,10,0.01734523809523811,0.015178571428571357,-0.014285714285713982,-0.43333333333333357,7.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,60-70万,印刷压力,7,0.0068707482993198565,-0.025000000000000355,-0.21999999999999958,-0.40000000000000036,7.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=70-80万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,70-80万,印刷压力,5,0.06314285714285717,-0.009999999999999787,-0.024999999999999467,-1.1999999999999993,7.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=80-90万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,80-90万,印刷压力,8,-0.017373949579831977,0.027647058823529507,-0.24000000000000057,-0.5000000000000012,8.5,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,90-100万,印刷压力,7,-0.006236263736263641,-0.02000000000000005,-0.179999999999999,-0.15000000000000036,9.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
